measurement_date,n_extremes,affected_hives,hives_reporting,share_of_reporting_hives
2021-07-23,9,9,32,0.2812
2020-07-24,7,7,33,0.2121
2022-07-23,6,6,27,0.2222
2021-07-24,6,6,30,0.2
2020-10-09,5,5,40,0.125
2020-07-25,5,5,33,0.1515
2021-07-25,5,5,30,0.1667
2021-08-19,5,5,29,0.1724
2020-10-08,4,4,41,0.0976
2022-05-28,4,4,29,0.1379
2020-05-07,4,4,20,0.2
2022-07-16,4,4,23,0.1739
2020-12-30,4,4,31,0.129
2022-07-15,4,4,22,0.1818
2022-08-03,4,4,27,0.1481
2020-05-16,3,3,21,0.1429
2020-05-17,3,3,22,0.1364
2021-09-01,3,3,25,0.12
2020-12-21,3,3,30,0.1
2021-08-21,3,3,30,0.1
2022-08-04,3,3,27,0.1111
2022-04-11,3,3,27,0.1111
2022-05-25,3,3,26,0.1154
2022-05-13,3,3,29,0.1034
2021-07-22,3,3,29,0.1034
2022-07-29,3,3,25,0.12
2022-07-24,3,3,27,0.1111
2020-07-29,3,3,32,0.0938
2022-07-28,3,3,24,0.125
2022-08-05,3,3,25,0.12
2022-08-02,2,2,27,0.0741
2020-07-19,2,2,34,0.0588
2020-07-12,2,2,35,0.0571
2020-07-11,2,2,33,0.0606
2020-07-10,2,2,30,0.0667
2020-07-07,2,2,33,0.0606
2022-08-12,2,2,22,0.0909
2020-07-05,2,2,31,0.0645
2020-06-28,2,2,30,0.0667
2020-06-27,2,2,30,0.0667
2020-07-31,2,2,36,0.0556
2021-07-09,2,2,27,0.0741
2021-06-18,2,2,30,0.0667
2021-07-15,2,2,24,0.0833
2021-07-18,2,2,28,0.0714
2021-07-19,2,2,27,0.0741
2021-05-30,2,2,26,0.0769
2021-07-27,2,2,30,0.0667
2021-05-09,2,2,20,0.1
2021-07-30,2,2,26,0.0769
2021-08-08,2,2,30,0.0667
2020-08-29,2,2,30,0.0667
2022-02-18,2,2,26,0.0769
2022-02-19,2,2,26,0.0769
2020-10-17,2,2,29,0.069
2022-03-28,2,2,29,0.069
2020-09-13,2,2,33,0.0606
2022-04-12,2,2,27,0.0741
2022-08-20,2,2,22,0.0909
2022-04-27,2,2,31,0.0645
2022-04-28,2,2,31,0.0645
2020-08-05,2,2,29,0.069
2022-07-27,2,2,24,0.0833
2021-09-14,2,2,27,0.0741
2022-05-12,2,2,29,0.069
2021-07-11,2,2,28,0.0714
2022-05-18,2,2,28,0.0714
2022-05-21,2,2,28,0.0714
