fold,framing,honest_label,mae,rmse,r2,bias,n,skill_vs_naive
fold_1_2020-12-25,"single regressor, all data",realistic,0.5801867878733616,1.5825563126847688,-0.1363130605456515,-0.009492928388735382,4043,-0.274877128174964
fold_1_2020-12-25,"routine only, oracle-gated",UPPER BOUND - test rows selected using the label,0.35130339508558706,0.6416115694581402,0.09800156079628464,0.02633615708975345,4004,0.22806125060782134
fold_1_2020-12-25,"two-stage, unfiltered test (hard gate)",deployable,0.4572437830068599,1.452686362492542,0.04253397536342285,0.04723684067241168,4043,-0.004727534545097445
fold_1_2020-12-25,"two-stage, unfiltered test (blended)",deployable,0.49408207756690153,1.5058286147594782,-0.028799499782059534,0.060164975486340325,4043,-0.08567439537885391
fold_2_2021-06-25,"single regressor, all data",realistic,0.5870024971481693,1.6909938577729084,0.04846972328241983,-0.08125370234318328,4525,-0.125196480293156
fold_2_2021-06-25,"routine only, oracle-gated",UPPER BOUND - test rows selected using the label,0.3218566625404013,0.662247902316985,0.13873355284141353,-0.03777794391611504,4448,0.38304864867048716
fold_2_2021-06-25,"two-stage, unfiltered test (hard gate)",deployable,0.4867901429404505,1.663988310582965,0.07861933678288124,0.014151976143985133,4525,0.06689569782232163
fold_2_2021-06-25,"two-stage, unfiltered test (blended)",deployable,0.5164776747219264,1.6485546025283768,0.09563192324574488,0.001971446833373885,4525,0.009989114917826614
fold_3_2021-12-25,"single regressor, all data",realistic,0.6487142884341501,1.9229865063851825,0.047049699038339,-0.21481071408486868,4376,-0.04758230163256094
fold_3_2021-12-25,"routine only, oracle-gated",UPPER BOUND - test rows selected using the label,0.34281747309002863,0.7090083236468337,0.2548387829876353,-0.10254255678906524,4302,0.44639801542468205
fold_3_2021-12-25,"two-stage, unfiltered test (hard gate)",deployable,0.5401556184654103,1.9286116023789146,0.041466428387462395,-0.08562523258175744,4376,0.12772467614732808
fold_3_2021-12-25,"two-stage, unfiltered test (blended)",deployable,0.590561637338163,1.8653651515217402,0.10330345563853693,-0.16828721483205886,4376,0.046326047801541814
fold_4_2022-06-25,"single regressor, all data",realistic,0.4510288715633555,1.6203471388326918,0.16299317457561124,0.05888074060651662,3867,0.005730422729164575
fold_4_2022-06-25,"routine only, oracle-gated",UPPER BOUND - test rows selected using the label,0.2443099250589777,0.5872668504341055,0.1259149420286494,0.01685082184521902,3796,0.46143153747678
fold_4_2022-06-25,"two-stage, unfiltered test (hard gate)",deployable,0.433465612270678,1.760973749891405,0.011404496883585469,0.06685301189850003,3867,0.04444771001035275
fold_4_2022-06-25,"two-stage, unfiltered test (blended)",deployable,0.4618462162459522,1.6412895341334088,0.14121734039622102,0.06078911896546752,3867,-0.018115848325453543
