fold,model,mae,rmse,r2,bias,n,skill_vs_naive
fold_1_2020-12-25,M3 features / RF,1.007110142010394,2.4640951341002255,-1.754828677959622,0.14661361501946094,4043,-1.2129798755126764
fold_2_2021-06-25,M3 features / RF,0.9111576003598676,2.4826147913420384,-1.0509601804410558,-0.21088753882188857,4525,-0.7465536005351872
fold_3_2021-12-25,M3 features / RF,1.1706330248376526,3.1423948218771387,-1.544715756371347,-0.47735538520355875,4376,-0.8904076268870376
fold_4_2022-06-25,M3 features / RF,0.8185104640624704,1.9036367038460547,-0.15526337673589707,0.1273091665163605,3867,-0.8043635438997199
fold_1_2020-12-25,M3 features / GB,0.8683161484872698,2.409988413310588,-1.6351756106898994,0.039538962247126025,4043,-0.9080000111498958
fold_2_2021-06-25,M3 features / GB,0.7234691054431501,2.6819688626460594,-1.393569346096271,-0.1719958879360494,4525,-0.3867826712839213
fold_3_2021-12-25,M3 features / GB,1.0015691478455564,3.1607938621254155,-1.5746021323145278,-0.4279612147778354,4376,-0.6173932528552835
fold_4_2022-06-25,M3 features / GB,0.5398386584679682,1.7917001635232948,-0.02339557058889641,0.12951100463771834,3867,-0.19004611143614047
fold_1_2020-12-25,history / HistGB,0.5289407433447751,1.592448993203077,-0.1505638227216648,0.020869623675080714,4043,-0.16227130631817466
fold_2_2021-06-25,history / HistGB,0.5785278023389238,1.6761662314863133,0.06508371341305075,-0.0679265759445387,4525,-0.10895175081202257
fold_3_2021-12-25,history / HistGB,0.6214594262200354,1.8919171746389338,0.07759421643181497,-0.1676838758771749,4376,-0.003569533919585144
fold_4_2022-06-25,history / HistGB,0.44044578840222093,1.6313074549804762,0.15163155210343604,0.06401413608521667,3867,0.02906027650187437
fold_1_2020-12-25,history+sensors / HistGB,0.5801867878733616,1.5825563126847688,-0.1363130605456515,-0.009492928388735382,4043,-0.274877128174964
fold_2_2021-06-25,history+sensors / HistGB,0.5870024971481693,1.6909938577729084,0.04846972328241983,-0.08125370234318328,4525,-0.125196480293156
fold_3_2021-12-25,history+sensors / HistGB,0.6487142884341501,1.9229865063851825,0.047049699038339,-0.21481071408486868,4376,-0.04758230163256094
fold_4_2022-06-25,history+sensors / HistGB,0.4510288715633555,1.6203471388326918,0.16299317457561124,0.05888074060651662,3867,0.005730422729164575
fold_1_2020-12-25,history+sensors / RF,0.6787822173682159,2.0525900118998024,-0.9115430166119447,-0.04862847729445874,4043,-0.4915264222175113
fold_2_2021-06-25,history+sensors / RF,0.688644382487513,2.208933758077302,-0.6236930665087463,-0.13212852238949166,4525,-0.3200288569692673
fold_3_2021-12-25,history+sensors / RF,0.7695700064420443,2.3366730911992053,-0.40706348454028496,-0.26653505812045786,4376,-0.242747281799353
fold_4_2022-06-25,history+sensors / RF,0.5409133349488962,1.7148170889077514,0.06254922620783643,0.056859642595654805,3867,-0.1924151795773692
