model,folds,mae_mean,mae_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,n,skill_mean,skill_sd
predict_zero,4,0.512811720119201,0.0781537082291539,1.742492299926201,0.20167709331829445,-0.0029101048175683153,0.0028207577418182367,16811,,
train_mean,4,0.5156815659639327,0.07528216898736682,1.743148269119704,0.20203005561863036,-0.003635699299343542,0.0034298520289536643,16811,,
history / HistGB,4,0.5423434400764888,0.07774190425636548,1.6979599635772,0.1337528669509813,0.03593641480665924,0.13006747075336492,16811,-0.061433078636977,0.08937488368050686
hive_mean,4,0.546605804239015,0.08165874174404562,1.750432230412035,0.20370374878419095,-0.011927303052389315,0.007508941542521896,16811,,
history+sensors / HistGB,4,0.5667331112547591,0.08306670795880136,1.704220953918888,0.15261107954762917,0.03054988408767964,0.1237979967758608,16811,-0.1104813718428791,0.12207098119219961
hive_month_mean,4,0.586246814089458,0.08479088693736779,1.7916079803852738,0.2223010792993949,-0.05943830372404557,0.03772502153541204,16811,,
persistence,4,0.5974284383474137,0.056913950534923416,2.168115951675053,0.19829798389184755,-0.5824747399925284,0.32634620697180244,16811,,
history+sensors / RF,4,0.6694774853116674,0.09487044065589277,2.0782534875210152,0.26870222334757926,-0.4699375853632849,0.41075193728172354,16811,-0.3116794351408752,0.1308819519323024
M3 features / GB,4,0.7832982650609861,0.19809284620840834,2.5111128254013395,0.5712728360812643,-1.1566856649223987,0.7624668557253326,16811,-0.5255555116813102,0.30904283670852023
M3 features / RF,4,0.9768528078175962,0.15039330314165725,2.4981853627913644,0.5065894200160932,-1.1264419978769804,0.7115026764239223,16811,-0.9135761617086553,0.2081692393823242
