fold,model,mae,rmse,r2,bias,n,skill_vs_naive,baseline_mae,target,n_rows
fold_1_2020-07-22,net change / rf,1.3050942964819887,2.7062515248177674,-0.1942816387583508,-0.1321257625895993,689,-0.11539524737698104,1.1700733883805883,net change,3012
fold_2_2021-01-22,net change / rf,2.013340569448008,3.529772623954636,0.4870015412483504,0.21449048549508157,419,0.17481629446506586,2.4398695174704628,net change,3012
fold_3_2021-07-22,net change / rf,1.1936522473592588,2.4173059220151742,0.12469007663221554,0.03349859724436873,556,0.04563439027648186,1.2507284788950668,net change,3012
fold_4_2022-01-22,net change / rf,2.386956569992875,4.528241384933066,0.2491586393623646,-0.5164623866127576,433,0.19898609477094964,2.9799190181477857,net change,3012
fold_1_2020-07-22,net change / hist_gb,1.5431469581817143,2.7721651158407927,-0.2531660679379457,-0.013472880789006134,689,-0.3188462993056098,1.1700733883805883,net change,3012
fold_2_2021-01-22,net change / hist_gb,2.142701613295856,3.7690630303446393,0.4150895240202871,0.2978023969861132,419,0.12179663791311912,2.4398695174704628,net change,3012
fold_3_2021-07-22,net change / hist_gb,1.268446152680407,2.490747411467728,0.07069559581756957,-0.02233097377956428,556,-0.014165883390608203,1.2507284788950668,net change,3012
fold_4_2022-01-22,net change / hist_gb,2.555716765882056,4.802050078423448,0.15561128867580853,-0.7547248922223996,433,0.14235361755884202,2.9799190181477857,net change,3012
fold_1_2020-07-22,net change / best naive (predict_zero),1.1700733883805883,2.476413683561404,-3.8750307754575886e-05,-0.015415313405987544,689,0.0,,net change,3012
fold_2_2021-01-22,net change / best naive (predict_zero),2.4407797939835096,4.933230856526094,-0.002040968081592487,0.22264185244209198,419,0.0,,net change,3012
fold_3_2021-07-22,net change / best naive (predict_zero),1.2549643019154573,2.5845050588881704,-0.00058362978920945,0.062419374932167405,556,0.0,,net change,3012
fold_4_2022-01-22,net change / best naive (predict_zero),3.0482645687338414,5.413533651619297,-0.07312603291831277,-1.413160475907536,433,0.0,,net change,3012
fold_1_2020-07-22,gross gain / rf,1.4088661104462108,3.0138675872509815,-0.27761063345654535,0.02175188344570985,689,-0.18444438517312345,1.1894742615883016,gross gain,3012
fold_2_2021-01-22,gross gain / rf,2.232366442732363,3.6591390997739133,0.40099429330965863,0.34707365649025224,419,0.07812301356320084,2.4215448216803996,gross gain,3012
fold_3_2021-07-22,gross gain / rf,1.2035106107364135,2.0491244232666688,0.05475134311718022,0.47621130930340577,556,-0.022575176916784345,1.1769409603362135,gross gain,3012
fold_4_2022-01-22,gross gain / rf,2.2983453569789583,4.397723255622428,0.3069273251375869,-0.619952158889265,433,0.20480626471886487,2.8902961064782464,gross gain,3012
fold_1_2020-07-22,gross gain / hist_gb,1.6744721040383836,3.06478031074288,-0.3211401154832043,-0.07011486157528023,689,-0.40774135104232156,1.1894742615883016,gross gain,3012
fold_2_2021-01-22,gross gain / hist_gb,2.591894930121863,4.053746763138733,0.26483241266817703,0.03952309212266545,419,-0.07034769991300482,2.4215448216803996,gross gain,3012
fold_3_2021-07-22,gross gain / hist_gb,1.3370866920349669,2.10010039999836,0.0071365465708906894,0.4971610194125013,556,-0.13606946915417484,1.1769409603362135,gross gain,3012
fold_4_2022-01-22,gross gain / hist_gb,2.4066738488853763,4.685219338248349,0.21334766035705566,-0.8416611132426388,433,0.16732619765458967,2.8902961064782464,gross gain,3012
fold_1_2020-07-22,gross gain / best naive (predict_zero),1.1894742615883016,2.6814998982516984,-0.011359950219417936,-0.2841928341746594,689,0.0,,gross gain,3012
fold_2_2021-01-22,gross gain / best naive (predict_zero),2.4215448216803996,4.748122246311416,-0.00859521913943495,-0.4383206345290932,419,0.0,,gross gain,3012
fold_3_2021-07-22,gross gain / best naive (predict_zero),1.1769409603362135,2.1098992255551323,-0.002150240606582532,-0.09773245871950112,556,0.0,,gross gain,3012
fold_4_2022-01-22,gross gain / best naive (predict_zero),3.2053877327784233,5.720274661866813,-0.17261851900194114,-2.194735563155229,433,0.0,,gross gain,3012
