regime,mae,rmse,r2,bias,n,baseline_mae,skill_vs_naive,skill_vs_fold_naive,fold,model
Autumn,1.297096739345597,2.5640922119009444,-0.1347468601898747,-0.03106793930494964,381,1.2276546416955,-0.056564847548811636,-0.10856015718878309,fold_1_2020-07-22,pooled
Summer,1.8969536714036932,3.199314366476901,-0.23145384280974457,-0.3276022277815517,132,1.6475035206529824,-0.1514109970774702,-0.6212262326802647,fold_1_2020-07-22,pooled
Winter,0.878512658864377,2.600354839947803,-0.3059674604264597,-0.20428563341979133,176,0.6810591504718579,-0.28992123262086333,0.2491815747726207,fold_1_2020-07-22,pooled
pooled,1.3050942964819887,2.7062515248177674,-0.1942816387583508,-0.1321257625895993,689,1.1700733883805883,-0.11539524737698104,-0.11539524737698104,fold_1_2020-07-22,pooled
Autumn,1.297096739345597,2.5640922119009444,-0.1347468601898747,-0.03106793930494962,381,1.2276546416955,-0.056564847548811636,-0.10856015718878309,fold_1_2020-07-22,gated:flow_vs_rest
Summer,2.267092168641329,3.3528912506090047,-0.35251858337708675,-0.11566363368241005,132,1.6475035206529824,-0.3760772831263963,-0.9375640803001619,fold_1_2020-07-22,gated:flow_vs_rest
Winter,0.8785126588643769,2.600354839947803,-0.3059674604264595,-0.20428563341979136,176,0.6810591504718579,-0.2899212326208631,0.24918157477262082,fold_1_2020-07-22,gated:flow_vs_rest
pooled,1.3760061711341918,2.741638200920856,-0.22571845219147968,-0.09152214223969118,689,1.1700733883805883,-0.17599988581794834,-0.17599988581794834,fold_1_2020-07-22,gated:flow_vs_rest
Autumn,1.2970967393455968,2.5640922119009444,-0.13474686018987447,-0.031067939304949575,381,1.2276546416955,-0.056564847548811414,-0.10856015718878287,fold_1_2020-07-22,gated:colony_cycle
Summer,1.8492521197089122,2.864395444518687,0.012879310397230226,-0.20495917739259242,132,1.6475035206529824,-0.12245715807391266,-0.5804582328535177,fold_1_2020-07-22,gated:colony_cycle
Winter,0.878512658864377,2.600354839947803,-0.3059674604264595,-0.20428563341979136,176,0.6810591504718579,-0.28992123262086333,0.2491815747726207,fold_1_2020-07-22,gated:colony_cycle
pooled,1.295955537666733,2.6333861821039224,-0.13083578559829556,-0.10862956135397861,689,1.1700733883805883,-0.10758483231583349,-0.10758483231583349,fold_1_2020-07-22,gated:colony_cycle
Autumn,1.297096739345597,2.5640922119009444,-0.13474686018987447,-0.03106793930494962,381,1.2276546416955,-0.056564847548811636,-0.10856015718878309,fold_1_2020-07-22,gated:season
Summer,1.8492521197089122,2.864395444518687,0.012879310397230226,-0.2049591773925923,132,1.6475035206529824,-0.12245715807391266,-0.5804582328535177,fold_1_2020-07-22,gated:season
Winter,0.8785126588643769,2.600354839947803,-0.3059674604264595,-0.20428563341979136,176,0.6810591504718579,-0.2899212326208631,0.24918157477262082,fold_1_2020-07-22,gated:season
pooled,1.295955537666733,2.6333861821039224,-0.13083578559829556,-0.10862956135397864,689,1.1700733883805883,-0.10758483231583349,-0.10758483231583349,fold_1_2020-07-22,gated:season
Spring,1.6493807019020699,2.556363628028739,0.349755106794167,-0.23098985992214258,260,1.7514952911640367,0.05830137812937075,0.323988151787696,fold_2_2021-01-22,pooled
Summer,2.8974940694965614,5.0771290774537,0.5094974589171655,1.0202219001962778,134,4.099528707717755,0.2932128846806825,-0.1875610760121882,fold_2_2021-01-22,pooled
Winter,1.059460431665522,1.6394596202456486,-0.881402133533679,0.5287656950358025,25,0.6857704568385259,-0.5449199088420145,0.5657716840677944,fold_2_2021-01-22,pooled
