model,regime,mae,skill_vs_naive,skill_vs_fold_naive,n
gated:colony_cycle,Autumn,1.1223521985311717,0.033672540391354255,0.06689762955458523,321.5
gated:colony_cycle,Spring,2.4369982797334533,0.04196136050354282,0.10977856903477068,278.5
gated:colony_cycle,Summer,2.6098453738739393,0.09675693977197866,-0.4658774337786891,103.25
gated:colony_cycle,Winter,0.7369776250369298,-0.17763171406437586,0.5753994797893239,121.0
gated:colony_cycle,pooled,1.7607291530436422,0.06739978094621049,0.06739978094621049,524.25
gated:flow_vs_rest,Autumn,1.1354345861199016,0.021577503181734237,0.0564378152867539,321.5
gated:flow_vs_rest,Spring,2.376569340288344,0.08244873794551588,0.1360460358585459,278.5
gated:flow_vs_rest,Summer,2.7604493711190323,0.015920951419416046,-0.5855351424853359,103.25
gated:flow_vs_rest,Winter,0.7371840263088664,-0.1827100396474085,0.5741344817478398,121.0
gated:flow_vs_rest,pooled,1.767852261290875,0.05128361046468782,0.05128361046468782,524.25
gated:season,Autumn,1.123911954325123,0.03223050206021566,0.06565055169534506,321.5
gated:season,Spring,2.4369982797334533,0.04196136050354282,0.10977856903477068,278.5
gated:season,Summer,2.6098453738739393,0.09675693977197866,-0.4658774337786891,103.25
gated:season,Winter,0.8411925138376076,-0.4114822166158707,0.5125397536237918,121.0
gated:season,pooled,1.782034214978968,0.05237564828214594,0.05237564828214594,524.25
pooled,Autumn,1.1524200685289838,0.005873944456858682,0.042857343828961614,321.5
pooled,Spring,2.260526935315239,0.1349346126347445,0.18015662473496702,278.5
pooled,Summer,2.6118362394950454,0.09128674054802915,-0.46489286956183073,103.25
pooled,Winter,0.8592802025739643,-0.38939263452439105,0.5170322263240721,121.0
pooled,pooled,1.724760920820533,0.07601038303387897,0.07601038303387897,524.25
