feature,importance_mean,importance_sd,is_weather
within_period_slope_kg_per_day,1.3915379727769317,0.08709181802523298,False
within_period_weight_sd_kg,0.22768411218388795,0.03006811896742606,False
period_weight_kg,0.15015222696031766,0.015579641020656475,False
wx_shortwave_radiation_sum_sum,0.05594924804584318,0.010213678097920516,True
rolling_4_period_change_kg,0.053860099551584016,0.009873477949373268,False
weight_minus_rolling_4_kg,0.04825079986099183,0.01386700156774289,False
daily_change_max_abs_kg,0.04241987251874306,0.022364948316306723,False
period_weight_change_kg,0.0390831951363344,0.0029712256579016907,False
change_minus_rolling_kg,0.0353350922543104,0.018438560117485642,False
wx_sunshine_duration_sum,0.028178231255511665,0.005496538996030249,True
cos_year,0.025795604348458224,0.0044871382292247936,False
sin_year,0.02419273160430411,0.014883817301767736,False
wx_et0_fao_evapotranspiration_sum,0.023382222647312646,0.0033328178535540426,True
daily_change_sd_kg,0.0204215985890559,0.002791768352905329,False
rolling_4_period_weight_kg,0.013011649346620312,0.007228514219301692,False
avg_outside_temp_mean,0.010455065391031049,0.003188317154036816,False
avg_internal_temp_2_mean,0.008921855680742486,0.0037891751025592338,False
wx_is_foraging_day_sum,0.007809299607212239,0.002521117785674903,True
avg_outside_temp_std,0.00597059631159178,0.004591597642573809,False
avg_outside_temp_max,0.0052392179500060365,0.002565167142664448,False
avg_internal_temp_2_std,0.004640018456088679,0.003774349680770583,False
wx_temperature_2m_mean_mean,0.004218257068964437,0.0011109858766590907,True
avg_humidity_std,0.0031402998522650273,0.002231789583908453,False
avg_internal_temp_1_mean,0.0028256217340755898,0.002794005772961297,False
previous_period_weight_kg,0.002713291549649899,0.006372980713832495,False
month,0.0022546265798814246,0.000563150723110084,False
avg_pressure_std,0.0019592645224586038,0.0035148265101710174,False
avg_internal_temp_4_mean,0.0015888515594269848,0.004352342359840098,False
avg_internal_temp_3_mean,0.0014417694627570476,0.0020541558041255042,False
week_of_year,0.0008949504532485442,0.0015739083412835736,False
avg_pressure_mean,0.00030127462309010867,0.0032510103830335414,False
previous_period_days_observed,0.00017367993780172952,0.0006210548710994728,False
avg_internal_temp_1_std,2.858797541813729e-05,0.003551930175000235,False
wx_temperature_2m_max_max,-1.1567159297776185e-05,0.004281428163851802,True
wx_temperature_2m_min_min,-6.822083543545077e-05,0.010440122972372411,True
days_observed,-0.0001068204928185601,0.00023576989795271125,False
foraging_days,-0.0005572759583263754,0.00033427696177543766,False
avg_internal_temp_3_std,-0.0022365097048249183,0.0038461708202733795,False
avg_internal_temp_4_std,-0.0029027432031859314,0.001713791722441922,False
wx_growing_degree_days_10c_sum,-0.003235590812479039,0.0016593078152814333,True
wx_temperature_2m_mean_std,-0.0033767443193730706,0.005196299920814066,True
wx_precipitation_sum_sum,-0.0039745814862932605,0.002246968310622223,True
wx_temperature_2m_max_mean,-0.005444429279158403,0.001788218959363694,True
previous_period_change_kg,-0.005663800090607829,0.002940133115917036,False
wx_precipitation_hours_sum,-0.006401871223362221,0.0019054685711576993,True
wx_precipitation_sum_max,-0.006915443676692589,0.006670682400354703,True
rolling_4_period_change_sd_kg,-0.007046268132520783,0.00344367253942838,False
avg_humidity_mean,-0.008824878522035373,0.004598866726155116,False
wx_temperature_2m_min_mean,-0.009077177903600386,0.002128375674137719,True
wx_wind_speed_10m_max_max,-0.018079490906388253,0.009147376553493795,True
wx_wind_speed_10m_max_mean,-0.024853200380725138,0.0037995753203199285,True
