fraction,repeat,hives,rows,folds,skill
0.25,0,18,164,4,-0.06337890472383162
0.25,1,18,166,4,-0.07021600717527365
0.25,2,18,198,3,0.1019083985017906
0.25,3,18,176,3,0.028031585864042346
0.25,4,18,224,4,0.03418191636894832
0.25,5,18,188,4,0.04324457794836939
0.25,6,18,160,4,0.042501838121884794
0.25,7,18,123,3,-0.0183954087544785
0.4,0,28,304,4,-0.1466286799458996
0.4,1,28,207,4,-0.047246781209376365
0.4,2,28,305,4,-0.07173846107002665
0.4,3,28,222,4,0.14873764716622237
0.4,4,28,224,4,-0.0595829037272852
0.4,5,28,247,4,0.03178051229278564
0.4,6,28,280,4,0.017128303011003848
0.4,7,28,294,4,0.059677449004322064
0.55,0,38,322,4,-0.045175654011909594
0.55,1,38,294,4,0.04199230736064227
0.55,2,38,344,4,0.01591879521589598
0.55,3,38,302,4,-0.007628922061403837
0.55,4,38,403,4,0.031124115310109918
0.55,5,38,369,4,-0.08250696481248665
0.55,6,38,328,4,-0.02363266018277438
0.55,7,38,293,4,-0.08665122343272799
0.7,0,49,464,4,0.09748394805673904
0.7,1,49,389,4,0.1012318853455228
0.7,2,49,414,4,0.09219362328650171
0.7,3,49,458,4,0.05754277867293031
0.7,4,49,452,4,0.0478443397713621
0.7,5,49,415,4,0.055899364491211495
0.7,6,49,421,4,0.01728575237613489
0.7,7,49,375,4,-0.0006206089864848607
0.85,0,60,520,4,0.041696357429307024
0.85,1,60,565,4,0.10682944150244922
0.85,2,60,503,4,0.07999272573934288
0.85,3,60,525,4,0.07985759426372677
0.85,4,60,559,4,0.01789589699415109
0.85,5,60,524,4,0.09832275231899415
0.85,6,60,495,4,0.061509365375239905
0.85,7,60,509,4,0.08666858214417467
1.0,0,70,622,4,0.07900223589576652
