feature,importance_mean,importance_sd
previous_day_weight_change_kg,0.15132884993206847,0.00775299601755581
previous_day_weight_kg,0.05418178734851477,0.002960873350998378
rolling_3_day_weight_kg,0.04788166222222693,0.0015838080424057251
weight_slope_2_day_kg,0.026005566677792004,0.002159550217537484
cos_day_of_year,0.020027114445148077,0.0036135336947311163
rolling_7_day_weight_sd_kg,0.016545674741406103,0.0009156224820814144
weight_minus_rolling_3_kg,0.007748825185883113,0.0010945171211017395
weight_slope_7_day_kg,0.0065013856649797416,0.0014446633936299287
weight_minus_rolling_7_kg,0.004520486713812421,0.00034408609864256727
rolling_7_day_weight_kg,0.0027962722763477887,0.0006546544932451467
avg_internal_temp_3,0.0025439220597776036,0.0008137924444246819
sin_day_of_year,0.002256456460896461,0.00023262621949420172
avg_internal_temp_2,0.0019215305864945464,0.001192143135845008
avg_internal_temp_4,0.001672921468272337,0.0004179294924528008
avg_humidity,0.0013732790783604787,0.0011696757138089254
avg_outside_temp,0.0006937678081187726,0.0018481867763586724
avg_pressure,0.0005817701144350318,0.000529780878400833
month,0.0,0.0
avg_internal_temp_1,-0.00022420721627477435,0.00029990593203689145
day_of_year,-0.002230895368694441,0.0009925409633441595
